video_annotation_label_id,label_name,label_hierarchy,frames
4411994,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),[236.846861]
4411995,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),[236.846861]
4411997,Yellowhead (Chaetodon xanthocephalus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Yellowhead (Chaetodon xanthocephalus),[240.469383]
4411998,Yellowhead (Chaetodon xanthocephalus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Yellowhead (Chaetodon xanthocephalus),[240.469383]
4411999,Blackspot (Lutjanus fulviflamma),Sloping Heads > Snappers (Lutjanidae) > Blackspot (Lutjanus fulviflamma),[319.706053]
4412000,Blackspot (Lutjanus fulviflamma),Sloping Heads > Snappers (Lutjanidae) > Blackspot (Lutjanus fulviflamma),[319.706053]
4412001,Blackspot (Lutjanus fulviflamma),Sloping Heads > Snappers (Lutjanidae) > Blackspot (Lutjanus fulviflamma),[319.706053]
4412002,Blackspot (Lutjanus fulviflamma),Sloping Heads > Snappers (Lutjanidae) > Blackspot (Lutjanus fulviflamma),[319.706053]
4412003,Blackspot (Lutjanus fulviflamma),Sloping Heads > Snappers (Lutjanidae) > Blackspot (Lutjanus fulviflamma),[319.706053]
4412004,Blackspot (Lutjanus fulviflamma),Sloping Heads > Snappers (Lutjanidae) > Blackspot (Lutjanus fulviflamma),[319.706053]
4412005,Blackspot (Lutjanus fulviflamma),Sloping Heads > Snappers (Lutjanidae) > Blackspot (Lutjanus fulviflamma),[319.706053]
4412006,Blackspot (Lutjanus fulviflamma),Sloping Heads > Snappers (Lutjanidae) > Blackspot (Lutjanus fulviflamma),[319.706053]
4412007,Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),[351.341425]
4412008,Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),[361.147892]
4412009,Black-lipped Interested,Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii) > Black-lipped Interested,[368.382775]
4412010,Black-lipped Feeding,Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii) > Black-lipped Feeding,[370.743141]
4412011,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),[531.562]
4412012,Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,[58.403285]
4412013,Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,[58.403285]
4412014,Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,[58.403285]
4412015,Black-lipped Feeding,Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii) > Black-lipped Feeding,[216.420013]
4412016,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412017,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412018,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412019,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412020,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412021,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412022,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412023,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412024,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412025,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412026,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),[243.019918]
4412027,Yellowhead (Chaetodon xanthocephalus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Yellowhead (Chaetodon xanthocephalus),[360.227055]
4412028,Yellowhead (Chaetodon xanthocephalus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Yellowhead (Chaetodon xanthocephalus),[360.227055]
4412029,Yellowhead (Chaetodon xanthocephalus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Yellowhead (Chaetodon xanthocephalus),[360.227055]
4412030,Yellowhead (Chaetodon xanthocephalus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Yellowhead (Chaetodon xanthocephalus),[360.227055]
4412031,Spotted (Diodon hystrix),Odd-shaped Swimmers > Porcupinefishes (Diodontidae) > Spotted (Diodon hystrix),[450.112393]
4412033,Blackwhite Feeding (Macolor niger),Sloping Heads > Snappers (Lutjanidae) > Blackwhite (Macolor niger) > Blackwhite Feeding (Macolor niger),[484.2532]
4412034,Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),[31.811436]
4412035,Trumpetfish (Aulostomus chinensis),Odd-shaped Swimmers > Trumpetfishes (Aulostomidae) > Trumpetfish (Aulostomus chinensis),[183.063706]
4412036,Emperor (Pomacanthus imperator),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Emperor (Pomacanthus imperator),[281.724243]
4412037,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),[284.586924]
4412038,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),[284.586924]
4412039,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),[284.586924]
4412040,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),[293.535443]
4412041,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),[293.535443]
4412042,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),[293.535443]
4412043,Cornetfishes (Fistulariidae),Odd-shaped Swimmers > Cornetfishes (Fistulariidae),[387.768675]
4412044,Cornetfishes (Fistulariidae),Odd-shaped Swimmers > Cornetfishes (Fistulariidae),[387.768675]
