label_name,label_hierarchy,count,file_name
Longnose (Forcipiger flavissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Longnose (Forcipiger flavissimus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Surgeonfishes (Acanthuridae),Large Ovals > Surgeonfishes (Acanthuridae),1,22376-2510utumbi-c8-meersalat-ganz.csv
Sulfur (Pomacentrus sulfureus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Sulfur (Pomacentrus sulfureus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa),1,22376-2510utumbi-c8-meersalat-ganz.csv
Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),1,22376-2510utumbi-c8-meersalat-ganz.csv
Whitetail (Acanthurus thompsoni),Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni),1,22376-2510utumbi-c8-meersalat-ganz.csv
Whiteline (Stethojulis albovittata),Wrasses > Wrasses (Labridae) > Whiteline (Stethojulis albovittata),1,22376-2510utumbi-c8-meersalat-ganz.csv
Yellowbreast (Anampses twistii),Wrasses > Wrasses (Labridae) > Yellowbreast (Anampses twistii),1,22376-2510utumbi-c8-meersalat-ganz.csv
Yellowtail (Anampses meleagrides),Wrasses > Wrasses (Labridae) > Yellowtail (Anampses meleagrides),1,22376-2510utumbi-c8-meersalat-ganz.csv
Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),128,22928-261024-utumbi-c10-makarel-ganz.csv
Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),42,22928-261024-utumbi-c10-makarel-ganz.csv
Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),39,22928-261024-utumbi-c10-makarel-ganz.csv
Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),18,22928-261024-utumbi-c10-makarel-ganz.csv
Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),17,22928-261024-utumbi-c10-makarel-ganz.csv
Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,16,22928-261024-utumbi-c10-makarel-ganz.csv
Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),15,22928-261024-utumbi-c10-makarel-ganz.csv
Green Feeding,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Feeding,9,22928-261024-utumbi-c10-makarel-ganz.csv
Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),8,22928-261024-utumbi-c10-makarel-ganz.csv
Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),8,22928-261024-utumbi-c10-makarel-ganz.csv
Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),5,22928-261024-utumbi-c10-makarel-ganz.csv
