comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,thumbprint (lethrinus harak),1,algaemix | mackerel,0.0,0.0,3,0.5,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,indian redfin (chaetodon trifasciatus),5,algaemix | mackerel,1.0,0.6666666666666666,3,1.25,0.75,4,Mann-Whitney U,5.0,0.8571428571428571,cliffs_delta,-0.16666666666666666,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,blackspot feeding (lutjanus fulviflamma),1,algaemix | mackerel,0.0,0.0,3,1.5,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,peacock damsel (pomacentrus pavo),1,algaemix | mackerel,0.0,0.0,3,1.25,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,whitetail (acanthurus thompsoni),1,algaemix | mackerel,0.0,0.0,3,0.5,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,sixbar (thalassoma hardwicke),1,algaemix | mackerel,0.0,0.0,3,0.25,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,spotted toby (canthigaster solandri),1,algaemix | mackerel,0.0,0.0,3,0.5,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,sidespot (parupeneus pleurostigma),1,algaemix | mackerel,0.0,0.0,3,2.0,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,threadfin (chaetodon auriga),7,algaemix | mackerel,2.6666666666666665,1.0,3,2.0,1.0,4,Mann-Whitney U,7.5,0.8571428571428571,cliffs_delta,0.25,0.5714285714285714,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,linedcheeked (oxycheilinus digramma),1,algaemix | mackerel,0.0,0.0,3,0.25,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
