comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,spotted toby (canthigaster solandri),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.5,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,peacock damsel (pomacentrus pavo),1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,1.25,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,moorish idol (zanclus cornutus),8,algae_strings | algaemix | mackerel,1.6666666666666667,1.0,3,4.0,1.0,3,2.25,0.5,4,Kruskal-Wallis,1.481132075471693,0.47684392745947624,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,black-backed (chaetodon melannotus),9,algae_strings | algaemix | mackerel,4.333333333333333,1.0,3,4.333333333333333,1.0,3,1.5,0.75,4,Kruskal-Wallis,1.4601562499999983,0.4818713424209833,epsilon_squared,0.0,,1.0,0.6335715798498114,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,queen (coris formosa),4,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.6666666666666666,0.6666666666666666,3,0.25,0.25,4,Kruskal-Wallis,1.1875000000000044,0.5522524501630192,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,scrawled (aluterus scriptus),4,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.6666666666666666,0.6666666666666666,3,0.25,0.25,4,Kruskal-Wallis,1.1875000000000044,0.5522524501630192,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,lined bristletooth (ctenochaetus striatus),7,algae_strings | algaemix | mackerel,1.3333333333333333,0.6666666666666666,3,1.6666666666666667,0.6666666666666666,3,2.75,0.75,4,Kruskal-Wallis,1.1299668874172157,0.568369556771643,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,mahsena (lethrinus mahsena),2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Kruskal-Wallis,1.0312499999999853,0.5971272734216317,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,bluefin (caranx melampygus),2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Kruskal-Wallis,1.0312499999999853,0.5971272734216317,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,redmouth (aethaloperca rogaa),2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Kruskal-Wallis,1.0312499999999853,0.5971272734216317,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,linedcheeked (oxycheilinus digramma),2,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,3,0.25,0.25,4,Kruskal-Wallis,1.0312499999999853,0.5971272734216317,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,blackspot (lutjanus fulviflamma),7,algae_strings | algaemix | mackerel,1.0,0.6666666666666666,3,4.333333333333333,1.0,3,6.75,0.5,4,Kruskal-Wallis,0.9716981132075483,0.6151746568578178,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,monk (acanthurus gahhm),10,algae_strings | algaemix | mackerel,2.6666666666666665,1.0,3,2.0,1.0,3,2.0,1.0,4,Kruskal-Wallis,0.9633027522935838,0.6177623909331511,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,thumbprint (lethrinus harak),2,algae_strings | algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,3,0.5,0.25,4,Kruskal-Wallis,0.95833333333333,0.6192992595476858,epsilon_squared,0.0,,1.0,0.687035116060714,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,species,species_maxn_by_taxon,threadfin (chaetodon auriga),10,algae_strings | algaemix | mackerel,1.6666666666666667,1.0,3,2.6666666666666665,1.0,3,2.0,1.0,4,Kruskal-Wallis,0.8994755244755263,0.6377953837277222,epsilon_squared,0.0,,1.0,0.6966688037641273,ns,ns,ns,False,False,False
